aeropuerto,oac,iata,tipo,denominacion,coordenadas,latitud,longitud,elev,uom_elev,ref,distancia_ref,direccion_ref,condicion,control,region,uso,trafico,sna,concesionado,provincia
HLF,,,Helipuerto,CAPILLA DEL SEÑOR/LOS FRESNOS,"""34°16'54""""S  59° 7' 7""""W""",-59.118616,-34.2816,34,Metros,Capilla del Señor,2.2,NO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
CSR,,,Aerodromo,CARLOS CASARES,"""35°37'47""""S  61°23'38""""W""",-61.39401,-35.6298,80,Metros,Carlos Casares,2,O,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HYC,,,Helipuerto,YACANTO DE CALAMUCHITA/ROCA VAL,"""32° 3'35""""S  64°46'49""""W""",-64.780353,-32.05978,1050,Metros,Villa Yacanto,3,NNO,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,CORDOBA
EZA,,,Aerodromo,LOS CONQUISTADORES/BUENA ESPERANZA,"""30°31'14""""S  58°23'59""""W""",-58.39961,-30.52042,75,Metros,Los Conquistadores,8,NE,PRIVADO,NOCONTROL,RANE,,Nacional,NO,NO,ENTRE RIOS
LAE,,,Aerodromo,PUNTA ROJA/EA. LA ELBA,"""44°34'22""""S  65°22'14""""W""",-65.37055556,-44.57277778,14,Metros,Camarones,37,NE,PRIVADO,NOCONTROL,RASU,CIVIL,Nacional,NO,NO,CHUBUT
SAN,SAVN,OES,Aerodromo,SAN ANTONIO OESTE/ANTOINE DE SAINT EXUPERY,"""40°45' 2""""S  65° 2' 7""""W""",-65.03527778,-40.75055556,26,Metros,San Antonio Oeste,10,SO,PUBLICO,AERADIO,RASU,,Nacional,NO,NO,RIO NEGRO
SSK,,,Aerodromo,SALTO/SKARE,"""34°21'25""""S  60° 9'21""""W""",-60.15597,-34.35684,60,Metros,Est. Gahan,4,O,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
PLG,,,Aerodromo,PELLEGRINI,"""36°16'43""""S  63° 8'49""""W""",-63.14695,-36.27873,113,Metros,Pellegrini,1.5,SE,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
GOY,SATG,OYA,Aerodromo,GOYA,"""29° 6'21""""S  59°13' 7""""W""",-59.21874,-29.10595,39,Metros,Goya,6,NE,PUBLICO,CONTROL,RANE,CIVIL,Nacional,NO,NO,CORRIENTES
HLI,,,Helipuerto,DON TORCUATO/HELICENTER,"""34°29'51""""S  58°36'25""""W""",-58.606884,-34.497531,3.87,Metros,Ex Aerodromo Don Torcuato,0,Lindando,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HDR,,,Helipuerto,GRANADERO BAIGORRIA/HOSPITAL R. CARRILLO,"""32°51' 7""""S  60°42'33""""W""",-60.709211,-32.851806,37,Metros,Granadero Baigorria,1,SE,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,SANTA FE
HMF,,,Helipuerto,LA MATANZA/OFICIAL SUBINSPECTOR GUSTAVO SOAREZ DE SOUZA,"""34°43'25""""S  58°30'54""""W""",-58.514923,-34.723585,43,Metros,Ruta 4 y Autopista Richieri,0,O,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HOS,,,Helipuerto,HELIPLATAFORMA MOVIL OCEAN SCEPTER,"""46°28' 0""""S  67°25'60""""W""",-67.433333,-46.466667,154,Metros,Golfo San Jorge,0,Lindando,PRIVADO,NOCONTROL,RASU,CIVIL,Nacional,NO,NO,SANTA CRUZ
CDI,,,Aerodromo,CARCARAÑA/DI GIUSEPPE,"""32°53'28""""S  61° 7'27""""W""",-61.12414,-32.89099,89,Metros,Carcaraña,5,SE,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,SANTA FE
DRX,,,Aerodromo,DAIREAUX,"""36°34'58""""S  61°47' 3""""W""",-61.78416667,-36.58277778,116,Metros,Daireaux,3.5,O,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HRR,,,Helipuerto,MORRISON,"""32°35'10""""S  62°50' 6""""W""",-62.83505,-32.586092,142,Metros,Morrison,3.5,NO,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,CORDOBA
BRF,,,Aerodromo,BAHIA BLANCA/LA REFORMA,"""38°43'50""""S  63°17'14""""W""",-63.28722,-38.7305,67,Metros,Bahia Blanca,88,O,PRIVADO,NOCONTROL,RASU,CIVIL,Nacional,NO,NO,BUENOS AIRES
CCP,,,Aerodromo,CONCEPCION,"""27°20'41""""S  65°37' 1""""W""",-65.61694444,-27.34472222,386,Metros,Concepcion,2.4,O,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,TUCUMAN
CIP,,,Aerodromo,CIPOLLETTI/AEROCLUB,"""38°53'34""""S  67°59'20""""W""",-67.98888889,-38.89277778,270,Metros,Cipolletti,5.5,N,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,RIO NEGRO
GVZ,,,Aerodromo,GONZALEZ CHAVES,"""38° 1'59""""S  60° 8' 2""""W""",-60.13388889,-38.03305556,194,Metros,Adolfo Gonzalez Chaves,2.5,O,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HHL,,,Helipuerto,LAS LAJAS/EA. HAYCHOL,"""38°32'53""""S  70°40'39""""W""",-70.677494,-38.548178,1051,Metros,Las Lajas,35,O,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,NEUQUEN
SRM,,,Aerodromo,SARMIENTO,"""45°34'59""""S  69° 0' 4""""W""",-69.00111111,-45.58305556,270,Metros,Sarmiento,3,E,PRIVADO,NOCONTROL,RASU,,Nacional,NO,NO,CHUBUT
LEN,,,Aerodromo,BELEN DE ESCOBAR,"""34°17'55""""S  58°47'56""""W""",-58.79888889,-34.29861111,4,Metros,Belen de Escobar,0,S,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
RDJ,,,Aerodromo,RICARDONE/DON JOSE,"""32°49'40""""S  60°46'54""""W""",-60.78168,-32.82771,25,Metros,Ricardone,8,NE,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,SANTA FE
VIE,SAVV,VDM,Aerodromo,VIEDMA/GOBERNADOR CASTELLO,"""40°52'13""""S  62°59'48""""W""",-62.99666667,-40.87027778,6,Metros,Viedma,6,S,PUBLICO,CONTROL,RASU,,Nacional,SI,SI,RIO NEGRO
HAC,,,Helipuerto,ALPA CORRAL/JUAN Y LUCI,"""32°41'24""""S  64°42'60""""W""",-64.716543,-32.689893,733,Metros,Alpa Corral,0,SO,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,CORDOBA
HPT,,,Helipuerto,SAN MARTIN/COOPERATIVA DE TRABAJOS PORTUARIOS LIMITADA,"""32°43' 9""""S  60°43'35""""W""",-60.72647778,-32.71917778,9,Metros,Puerto General San Martin,0.5,SE,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,SANTA FE
VEC,,,Aerodromo,CORCOVADO/EA. CARIDAD,"""43°43'17""""S  71°14'44""""W""",-71.24555556,-43.72138889,740,Metros,Corcovado,27,SE,PRIVADO,NOCONTROL,RASU,CIVIL,Nacional,NO,NO,CHUBUT
PSP,SARS,PRQ,Aerodromo,PRESIDENCIA ROQUE SAENZ PEÑA/TERMAL,"""26°45'20""""S  60°29'36""""W""",-60.49329,-26.75564,94,Metros,Presidencia Roque Saenz Peña,6,NNO,PUBLICO,AERADIO,RANE,,Nacional,NO,NO,CHACO
TIO,,,Aerodromo,TIO PUJIO,"""32°17'35""""S  63°24' 7""""W""",-63.40194444,-32.29305556,237,Metros,Tio Pujio,9,O,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,CORDOBA
VIT,,,Aerodromo,SANTA VICTORIA,"""22°17' 8""""S  62°42'49""""W""",-62.71372,-22.28551,280,Metros,Santa Victoria,7,S,PRIVADO,NOCONTROL,RANO,,Nacional,NO,NO,SALTA
HPO,,,Helipuerto,PUERTO ESPERANZA,"""25°59'25""""S  54°38'18""""W""",-54.638298,-25.99034,155,Metros,Esperanza,4.7,NO,PRIVADO,NOCONTROL,RANE,CIVIL,Nacional,NO,NO,MISIONES
BOS,,,Aerodromo,LOBOS,"""35°12'39""""S  59° 8'12""""W""",-59.13666667,-35.21083333,29,Metros,Lobos,3,SO,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
