aeropuerto,oac,iata,tipo,denominacion,coordenadas,latitud,longitud,elev,uom_elev,ref,distancia_ref,direccion_ref,condicion,control,region,uso,trafico,sna,concesionado,provincia
MTL,,,Aerodromo,MONTECARLO,"""26°32'39""""S  54°43'26""""W""",-54.72388889,-26.54416667,240,Metros,Montecarlo,3.5,NE,PRIVADO,NOCONTROL,RANE,,Nacional,NO,NO,MISIONES
NVR,,,Aerodromo,NAVARRO,"""35° 1'25""""S  59°17' 9""""W""",-59.28583333,-35.02361111,30,Metros,Navarro,2,SO,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
BDO,,,Aerodromo,BARADERO,"""33°49'16""""S  59°29'34""""W""",-59.49279,-33.82122,29,Metros,Baradero,1.5,NO,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
CLE,,,Aerodromo,CORRALITO/LOMAS DEL ESPINILLO,"""32° 5'17""""S  64°10'11""""W""",-64.16972222,-32.08805556,439.5,Metros,Rio Tercero,9,NNO,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,CORDOBA
OEL,,,Aerodromo,CHOELE CHOEL,"""39°17'11""""S  65°36'36""""W""",-65.61,-39.28638889,196,Metros,Choele Choel,3.5,E,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,RIO NEGRO
SLZ,,,Aerodromo,SALAZAR/EA. EL TRIANGULO,"""36°21' 1""""S  62°13'37""""W""",-62.22694444,-36.35027778,104,Metros,Salazar,5,SSO,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,BUENOS AIRES
GEZ,,,Aerodromo,GENERAL RODRIGUEZ/EAA,"""34°40'49""""S  59° 2' 9""""W""",-59.03583333,-34.68027778,28,Metros,General Rodriguez,10,SE,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
GIT,,,Aerodromo,GOYA/ITALAVIATION,"""29° 9'31""""S  59°10'46""""W""",-59.17949,-29.15852,64,Metros,Goya,7,E,PRIVADO,NOCONTROL,RANE,AEROAPP,Nacional,NO,NO,CORRIENTES
HRC,,,Helipuerto,CARMEN DE ARECO/SAN JOAQUIN,"""34°20'19""""S  59°43'17""""W""",-59.721463,-34.338474,42,Metros,Carmen de Areco,16,NE,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
LVM,,,Aerodromo,LUJAN/EA. VILLA MARIA,"""34°38'37""""S  59° 7'38""""W""",-59.12727,-34.6436,32,Metros,Lujan,9,S,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
TCM,,,Aerodromo,TUCUMAN/AEROCLUB HORCO MOLLE,"""26°47'46""""S  65°18'34""""W""",-65.30937,-26.79606,580,Metros,San Miguel de Tucuman,8,O,PUBLICO,NOCONTROL,RANO,,Nacional,NO,NO,TUCUMAN
YOS,SAZH,OYO,Aerodromo,TRES ARROYOS,"""38°23' 8""""S  60°19'39""""W""",-60.3275,-38.38555556,122,Metros,Tres Arroyos,5,SO,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
MTR,,,Aerodromo,MORTEROS,"""30°40'33""""S  62° 1'33""""W""",-62.0259,-30.67594,94,Metros,Morteros,3,NNO,PUBLICO,NOCONTROL,RANO,,Nacional,NO,NO,CORDOBA
NOG,,,Aerodromo,NOGOYA,"""32°23'58""""S  59°45' 2""""W""",-59.75055556,-32.39944444,43,Metros,Nogoya,5,E,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,ENTRE RIOS
RCE,,,Aerodromo,MERCEDES,"""29°13'20""""S  58° 5'17""""W""",-58.08805556,-29.22222222,106,Metros,Mercedes,4,S,PUBLICO,NOCONTROL,RANE,CIVIL,Nacional,NO,NO,CORRIENTES
BMO,,,Aerodromo,BRAGADO/MALFATO,"""35° 9' 6""""S  60°30'20""""W""",-60.50555556,-35.15166667,57,Metros,Bragado,4,SO,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,BUENOS AIRES
POS,SARP,PSS,Aerodromo,POSADAS/LIBERTADOR GRAL. D. JOSE DE SAN MARTIN,"""27°23' 9""""S  55°58'14""""W""",-55.97049,-27.38573,131,Metros,Posadas,7.5,NO,PUBLICO,CONTROL,RANE,,Internacional,SI,SI,MISIONES
PUA,,,Aerodromo,PUAN,"""37°32'22""""S  62°44' 4""""W""",-62.73444444,-37.53944444,240,Metros,Puan,3,N,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
RBS,,,Aerodromo,RUFINO/BSG,"""34°14'57""""S  62°40'27""""W""",-62.67405,-34.24928,120,Metros,Rufino,3.4,NE,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,SANTA FE
VAN,,,Aerodromo,VILLA ANGELA,"""27°35'42""""S  60°40'55""""W""",-60.68196,-27.59505,75,Metros,Villa Angela,3.5,SE,PUBLICO,AERADIO,RANE,,Nacional,NO,NO,CHACO
PIG,SAZE,,Aerodromo,PIGÜE,"""37°36'22""""S  62°22'55""""W""",-62.38194444,-37.60611111,312,Metros,Pigüe,0,Lindando,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
SAL,SASA,SLA,Aerodromo,SALTA/GENERAL D. MARTIN MIGUEL DE GÜEMES,"""24°51'35""""S  65°29'13""""W""",-65.48694444,-24.85972222,1246,Metros,Salta,6,SO,PUBLICO,CONTROL,RANO,,Internacional,SI,SI,SALTA
BRQ,,,Aerodromo,BUTA RANQUIL/EL PORTON,"""37°11'42""""S  69°36'35""""W""",-69.60972222,-37.195,870,Metros,Buta Ranquil,22,SE,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,NEUQUEN
HCU,,,Helipuerto,CORDOBA/CIUDAD UNIVERSITARIA,"""31°26'27""""S  64°11'25""""W""",-64.190266,-31.440805,440,Metros,Medina Allende,,0,Lindando,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO
HFV,,,Helipuerto,FLORENCIO VARELA/COLONIA LA CAPILLA,"""34°55' 1""""S  58°15' 1""""W""",-58.250221,-34.916875,25,Metros,Florencio Varela,9,OSO,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
LCT,,,Aerodromo,LA CARLOTA,"""33°27'27""""S  63°18'49""""W""",-63.31375,-33.45761,154,Metros,La Carlota,4,S,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,CORDOBA
SJD,,,Aerodromo,SAN JOSE DE LA DORMIDA,"""30°16'27""""S  63°51'27""""W""",-63.85751,-30.27423,423,Metros,San Jose de la Dormida,11,NE,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,CORDOBA
GNV,,,Aerodromo,GENERAL VIAMONTE/LOS TOLDOS,"""34°58'38""""S  61° 1'15""""W""",-61.02083333,-34.97722222,72,Metros,General Viamonte,3.1,NE,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
GRZ,,,Aerodromo,GENERAL RODRIGUEZ,"""34°34'58""""S  59° 0' 2""""W""",-59.00055556,-34.58277778,28,Metros,General Rodriguez,10,SE,PRIVADO,NOCONTROL,RACE,ULM,Nacional,NO,NO,BUENOS AIRES
HNE,,,Helipuerto,VILLA NUEVA/DAYRY PARTNERS AMERICAS MANUFACTURING ARGENTINA S.A,"""32°26'16""""S  63°13'27""""W""",-63.22409,-32.437713,195,Metros,Villa Nueva,0,Lindando,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,CORDOBA
HSG,,,Helipuerto,BUENOS AIRES/SANATORIO GÜEMES,"""34°35'49""""S  58°25'19""""W""",-58.421945,-34.59703,82,Metros,Facundo Acuña de Figueroa y Av. Cordoba,0,Lindando,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,CIUDAD AUTONOMA DE BUENOS AIRES
IRA,SAEM,,Aerodromo,MIRAMAR,"""38°13'34""""S  57°52'15""""W""",-57.87083333,-38.22611111,13,Metros,Miramar,4,NO,PUBLICO,AERADIO,RACE,,Nacional,NO,NO,BUENOS AIRES
MLA,,,Aerodromo,MALABRIGO,"""29°22' 2""""S  59°58'41""""W""",-59.97805556,-29.36722222,54,Metros,Malabrigo,1.5,S,PRIVADO,NOCONTROL,RANE,,Nacional,NO,NO,SANTA FE
RAI,,,Aerodromo,RANCHOS/LA IGUALDAD,"""35°34' 7""""S  58°26'25""""W""",-58.44027778,-35.56861111,18,Metros,Ranchos,10,SO,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
SEZ,,,Aerodromo,GENERAL PINTO/ALFREDO SANCHEZ,"""34°48' 5""""S  61°52'10""""W""",-61.86958,-34.80139,100,Metros,General Pinto,6,SE,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,BUENOS AIRES
VAY,,,Aerodromo,VILLA AMANCAY/HALLPA HUAYRA,"""32°12'29""""S  64°32'25""""W""",-64.54027778,-32.20805556,557,Metros,Villa Amancay,7,SE,PRIVADO,NOCONTROL,RANO,,Nacional,NO,NO,CORDOBA
BAL,,,Aerodromo,BALCARCE,"""37°54'55""""S  58°20'37""""W""",-58.34361111,-37.91527778,120,Metros,Balcarce,12,S,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
PTA,SADL,LPG,Aerodromo,LA PLATA,"""34°58' 9""""S  57°53'35""""W""",-57.89305556,-34.96916667,22,Metros,La Plata,5,SE,PUBLICO,AERADIO,RACE,CIVIL,Nacional,SI,NO,BUENOS AIRES
CBB,,,Aerodromo,CAÑADA ROSQUIN/ByB SERVICIOS AGROPECUARIOS,"""32° 6'42""""S  61°37'55""""W""",-61.63196,-32.11159,73,Metros,Cañada Rosquin,7,SSO,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,SANTA FE
CIF,,,Aerodromo,ARRECIFES/AEROCLUB,"""34° 4'43""""S  60° 2'46""""W""",-60.04602,-34.07849,43,Metros,Arrecifes,4.5,ESE,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
GPF,,,Aerodromo,GENERAL PICO/CEREALES ANAHI RUCA,"""35°40'25""""S  63°43' 5""""W""",-63.71805556,-35.67361111,139,Metros,General Pico,3,E,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,LA PAMPA
HDI,,,Helipuerto,BUENOS AIRES/DINES DR. E. ESCUDERO,"""34°34'21""""S  58°24' 2""""W""",-58.400458,-34.572579,6,Metros,Salguero y Costanera,0,Lindando,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,CIUDAD AUTONOMA DE BUENOS AIRES
HPE,,,Helipuerto,PARANA/HOSPITAL MATERNO INFANTIL SAN ROQUE,"""31°43'48""""S  60°31'17""""W""",-60.521265,-31.730027,81,Metros,Parana,0,,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,ENTRE RIOS
HPI,,,Helipuerto,PILAR GOLF/PIERO VARA,"""34°25'59""""S  58°58'21""""W""",-58.972486,-34.433128,12,Metros,Pilar,6,ONO,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
PBE,,,Aerodromo,POBLET,"""35° 5'17""""S  57°56'57""""W""",-57.94917,-35.08795,20,Metros,Poblet,3.5,SE,PUBLICO,NOCONTROL,RACE,ULM,Nacional,NO,NO,BUENOS AIRES
DRA,,,Aerodromo,SAAVEDRA,"""37°44'59""""S  62°20' 2""""W""",-62.33392,-37.74961,317,Metros,Saavedra,3,NNE,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
GPK,,,Aerodromo,GENERAL PINEDO/KALBERMATTER,"""27°15'37""""S  61°28'28""""W""",-61.47444444,-27.26027778,101,Metros,General Pinedo,20,NO,PRIVADO,NOCONTROL,RANE,CIVIL,Nacional,NO,NO,CHACO
HAB,,,Helipuerto,HELIPLATAFORMA AM1,"""52°31' 9""""S  68°23' 9""""W""",-68.385833,-52.519167,30,Metros,Estrecho de Magallanes,0,Lindando,PRIVADO,NOCONTROL,RASU,CIVIL,Nacional,NO,NO,TIERRA DEL FUEGO ANTARTIDA E ISLAS DEL ATLANTICO SUR
MBF,,,Aerodromo,MONTE BUEY/PEDRO FERRARI,"""32°55'54""""S  62°26' 5""""W""",-62.43474,-32.93173,108,Metros,Monte Buey,2,ESE,PUBLICO,NOCONTROL,RANO,,Nacional,NO,NO,CORDOBA
VMT,,,Aerodromo,VILLA MERCEDES/LAS TOTORITAS,"""33°50'41""""S  65°19'29""""W""",-65.32472222,-33.84472222,448,Metros,Villa Mercedes,20,SE,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,SAN LUIS
ATE,,,Aerodromo,ZARATE,"""34° 7' 6""""S  59° 4'58""""W""",-59.08266,-34.11829,26,Metros,Zarate,6,SO,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
BLR,SAZI,,Aerodromo,BOLIVAR,"""36°11'12""""S  61° 4'33""""W""",-61.07583333,-36.18666667,94,Metros,San Carlos de Bolivar,6,NNE,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HBP,,,Helipuerto,BAHIA BLANCA/PBB POLISUR S.A.,"""38°46'24""""S  62°17'38""""W""",-62.293984,-38.77345,5,Metros,Bahia Blanca,6.5,SSO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
LGM,SAVM,,Aerodromo,SARMIENTO/LAGO MUSTERS,"""45°34'30""""S  69° 4'38""""W""",-69.07713,-45.57506,27,Metros,Sarmiento,0,N,PRIVADO,NOCONTROL,RASU,,Nacional,NO,NO,CHUBUT
PER,SAAN,,Aerodromo,PERGAMINO,"""33°55'13""""S  60°38'53""""W""",-60.64805556,-33.92027778,72,Metros,Pergamino,10,SO,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
SJB,,,Aerodromo,SAN JORGE/BOCCA,"""31°52'16""""S  61°57' 4""""W""",-61.95111111,-31.87111111,105,Metros,San Jorge,9,ONO,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,SANTA FE
LIB,SARL,AOL,Aerodromo,PASO DE LOS LIBRES,"""29°41'17""""S  57° 9' 8""""W""",-57.15222222,-29.68805556,70,Metros,Paso de los Libres,6,NO,PUBLICO,CONTROL,RANE,,Internacional,SI,NO,CORRIENTES
UEN,,,Aerodromo,QUEQUEN/MOROMAR,"""38°25'32""""S  58°22'17""""W""",-58.37148208,-38.42552552,15,Metros,Quequen,31,ENE,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
VMA,,,Aerodromo,VICUÑA MACKENNA/DON ANGEL,"""33°56'18""""S  64°24'28""""W""",-64.40775,-33.93823,228,Metros,Vicuña Mackenna,2,SO,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,CORDOBA
LAN,,,Aerodromo,LANTERI,"""28°51'27""""S  59°40'22""""W""",-59.67277778,-28.8575,56,Metros,Lanteri,3.5,SO,PRIVADO,NOCONTROL,RANE,AEROAPP,Nacional,NO,NO,SANTA FE
CUA,,,Aerodromo,RIO CUARTO/AEROCLUB,"""33° 9'38""""S  64°20'14""""W""",-64.33722222,-33.16055556,424,Metros,Rio Cuarto,4,SSE,PUBLICO,NOCONTROL,RANO,,Nacional,NO,NO,CORDOBA
