06/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDX mWEIGHT HIST,indx_mweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_DATE_OVERRIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.000000,,,99.999996,,,100.000000,,,100.000003,,,100.000000,,,100.000000,,,100.000001,,,100.000001,,,99.999999,,,99.999999,,,100.000000,,,100.000000,,,100.000000,,,100.000000,,,100.000000,,,100.000002,,,100.000000,,,99.999999,,,100.000000,,,100.000000,
ELEMENT* MM,0.50173,,GAPB MM,4.499783,,GMXT* MM,9.910343,,BOLSAA MM,0.622944,,BACHOCOB MM,0.527192,,BACHOCOB MM,0.527192,,GFINBURO MM,3.398959,,GFINBURO MM,3.398959,,GAPB MM,11.283461,,GAPB MM,11.283461,,LACOMUBC MM,9.891796,,LACOMUBC MM,9.891796,,GAPB MM,4.031384,,GAPB MM,4.031384,,KIMBERA MM,13.21033,,BSMXB MM,3.657416,,DANHOS13 MM,0.343474214,,GRUMAB MM,6.180918672,,GRUMAB MM,1.195778655,,GRUMAB MM,3.392949998
GCC* MM,5.26074,,GENTERA* MM,1.64751,,HOMEX* MM,0.070237,,BSMXB MM,1.65312,,BBAJIOO MM,0.852073,,BBAJIOO MM,0.852073,,GFNORTEO MM,13.237623,,GFNORTEO MM,13.237623,,GENTERA* MM,2.700028,,GENTERA* MM,2.700028,,Q* MM,10.869281,,Q* MM,10.869281,,GFNORTEO MM,10.687616,,GFNORTEO MM,10.687616,,KOFUBL MM,11.543674,,CEMEXCPO MM,4.351448,,FIHO12 MM,0.360527456,,GAPB MM,3.035656352,,GAPB MM,3.952960302,,ASURB MM,4.591501162
GENTERA* MM,4.979039,,GFNORTEO MM,10.674159,,ICHB MM,7.070326,,CEMEXCPO MM,4.265698,,BIMBOA MM,2.488364,,BIMBOA MM,2.488364,,GMEXICOB MM,6.828422,,GMEXICOB MM,6.828422,,GMXT* MM,1.62144,,GMXT* MM,1.62144,,UNIFINA MM,3.392511,,UNIFINA MM,3.392511,,GMEXICOB MM,8.84523,,GMEXICOB MM,8.84523,,LACOMUBC MM,2.930893,,CUERVO* MM,1.063165,,FHIPO MM,0.327443605,,ASURB MM,3.76239142,,ASURB MM,1.492576929,,OMAB MM,5.850883732
HERDEZ* MM,2.593068,,GMEXICOB MM,8.834093,,IENOVA* MM,12.313226,,CUERVO* MM,0.589079,,BOLSAA MM,0.590081,,BOLSAA MM,0.590081,,IENOVA* MM,3.225865,,IENOVA* MM,3.225865,,GRUMAB MM,6.210818,,GRUMAB MM,6.210818,,VESTA* MM,14.189015,,VESTA* MM,14.189015,,GRUMAB MM,2.219017,,GRUMAB MM,2.219017,,LALAB MM,3.630768,,FEMSAUBD MM,4.012139,,ARA* MM,0.187051923,,BIMBOA MM,4.991940448,,BIMBOA MM,3.611546239,,BIMBOA MM,2.957802091
ICHB MM,3.088589,,IENOVA* MM,3.357018,,MFRISCOA MM,1.242479,,ELEKTRA* MM,2.948915,,BSMXB MM,1.565909,,BSMXB MM,1.565909,,KOFUBL MM,3.640958,,KOFUBL MM,3.640958,,KIMBERA MM,9.471607,,KIMBERA MM,9.471607,,VOLARA MM,11.556134,,VOLARA MM,11.556134,,IENOVA* MM,2.528248,,IENOVA* MM,2.528248,,SORIANAB MM,1.615385,,GAPB MM,3.653262,,VOLARA MM,0.522403063,,GCARSOA1 MM,3.084209315,,GCARSOA1 MM,2.090151453,,GCARSOA1 MM,2.17996779
LABB MM,3.597439,,KIMBERA MM,4.590321,,PINFRA* MM,11.366,,FEMSAUBD MM,12.814757,,CEMEXCPO MM,4.040659,,CEMEXCPO MM,4.040659,,LIVEPOLC MM,1.578587,,LIVEPOLC MM,1.578587,,LALAB MM,2.301694,,LALAB MM,2.301694,,,,,,,,KIMBERA MM,3.38404,,KIMBERA MM,3.38404,,WALMEX* MM,12.364984,,GCC* MM,2.219646,,VESTA* MM,0.725789445,,GFNORTEO MM,3.113526976,,GFNORTEO MM,13.23737031,,GCC* MM,4.166931819
LACOMUBC MM,3.426307,,KOFUBL MM,4.567431,,SIMECB MM,3.412679,,GAPB MM,2.599603,,CHDRAUIB MM,0.210014,,CHDRAUIB MM,0.210014,,TLEVICPO MM,5.758112,,TLEVICPO MM,5.758112,,MEGACPO MM,3.71576,,MEGACPO MM,3.71576,,,,,,,,KOFUBL MM,3.691635,,KOFUBL MM,3.691635,,,,,GENTERA* MM,2.829905,,CREAL* MM,0.270243592,,GFINBURO MM,4.319140541,,GFINBURO MM,3.123536007,,ELEKTRA* MM,5.445819141
LALAB MM,4.244484,,MEGACPO MM,0.887491,,VESTA* MM,11.250782,,GCARSOA1 MM,1.047184,,CREAL* MM,0.196577,,CREAL* MM,0.196577,,WALMEX* MM,12.051732,,WALMEX* MM,12.051732,,NEMAKA MM,0.884911,,NEMAKA MM,0.884911,,,,,,,,OMAB MM,2.369477,,OMAB MM,2.369477,,,,,GFINBURO MM,3.357857,,LIVEPOLC MM,0.781516643,,GMEXICOB MM,2.005109473,,GMEXICOB MM,6.723483958,,GFINBURO MM,6.248072938
MEGACPO MM,6.852119,,ORBIA* MM,2.561689,,,,,GCC* MM,0.657256,,CUERVO* MM,0.558002,,CUERVO* MM,0.558002,,,,,,,,OMAB MM,6.63194,,OMAB MM,6.63194,,,,,,,,ORBIA* MM,2.246131,,ORBIA* MM,2.246131,,,,,GFNORTEO MM,6.230676,,FUNO11 MM,3.025219856,,TLEVICPO MM,2.69974314,,TLEVICPO MM,1.509203794,,GMEXICOB MM,4.23340367
MFRISCOA MM,0.542763,,PE&OLES* MM,2.102954,,,,,GENTERA* MM,0.622061,,ELEKTRA* MM,2.793344,,ELEKTRA* MM,2.793344,,,,,,,,ORBIA* MM,6.286708,,ORBIA* MM,6.286708,,,,,,,,PINFRA* MM,2.290011,,PINFRA* MM,2.290011,,,,,GMEXICOB MM,4.908517,,FEMSAUBD MM,11.01342373,,PE&OLES* MM,1.817483655,,PE&OLES* MM,1.165256238,,PE&OLES* MM,3.629239527
NEMAKA MM,1.631837,,RA MM,0.315133,,,,,GFINBURO MM,2.089874,,FEMSAUBD MM,12.13871,,FEMSAUBD MM,12.13871,,,,,,,,PE&OLES* MM,4.981332,,PE&OLES* MM,4.981332,,,,,,,,TLEVICPO MM,4.512877,,TLEVICPO MM,4.512877,,,,,GRUMAB MM,4.316137,,LABB MM,0.603390766,,IENOVA* MM,3.651402346,,IENOVA* MM,2.034352847,,IENOVA* MM,5.471371445
OMAB MM,12.229756,,WALMEX* MM,10.734092,,,,,GFNORTEO MM,11.782531,,GAPB MM,2.46246,,GAPB MM,2.46246,,,,,,,,PINFRA* MM,6.409524,,PINFRA* MM,6.409524,,,,,,,,WALMEX* MM,10.747624,,WALMEX* MM,10.747624,,,,,IENOVA* MM,4.839911,,GENTERA* MM,0.672109537,,KIMBERA MM,4.833629285,,KIMBERA MM,3.10095724,,MEGACPO MM,3.795422428
Q* MM,3.764888,,,,,,,,GMEXICOB MM,6.077835,,GCARSOA1 MM,0.99194,,GCARSOA1 MM,0.99194,,,,,,,,RA MM,1.408292,,RA MM,1.408292,,,,,,,,,,,,,,,,,KIMBERA MM,2.356581,,GRUMAB MM,1.441916811,,MEGACPO MM,4.948267919,,MEGACPO MM,1.140523802,,ORBIA* MM,3.221510685
RA MM,2.596989,,,,,,,,GRUMAB MM,1.430914,,GCC* MM,0.622582,,GCC* MM,0.622582,,,,,,,,SITESB1 MM,1.397197,,SITESB1 MM,1.397197,,,,,,,,,,,,,,,,,KOFUBL MM,1.370239,,AEROMEX* MM,0.262010288,,ORBIA* MM,3.873940848,,ORBIA* MM,0.860589374,,PINFRA* MM,4.471564628
SIMECB MM,1.490789,,,,,,,,IENOVA* MM,1.630319,,GENTERA* MM,0.589244,,GENTERA* MM,0.589244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIVEPOLC MM,1.360186,,GAPB MM,2.368302719,,PINFRA* MM,5.628030933,,PINFRA* MM,2.188490502,,RA MM,5.261215012
SITESB1 MM,3.548854,,,,,,,,KIMBERA MM,2.182169,,GFINBURO MM,1.979622,,GFINBURO MM,1.979622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEGACPO MM,3.102475,,ASURB MM,2.158419105,,WALMEX* MM,5.248210836,,WALMEX* MM,16.42407093,,,
SORIANAB MM,1.888436,,,,,,,,KOFUBL MM,2.380519,,GFNORTEO MM,11.16094,,GFNORTEO MM,11.16094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OMAB MM,3.869652,,OMAB MM,1.367402948,,,,,,,,,
UNIFINA MM,1.175094,,,,,,,,LABB MM,0.44945,,GMEXICOB MM,5.757197,,GMEXICOB MM,5.757197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORBIA* MM,5.142295,,BIMBOA MM,2.157213234,,,,,,,,,
VESTA* MM,4.914773,,,,,,,,LIVEPOLC MM,0.797801,,GMXT* MM,0.512341,,GMXT* MM,0.512341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE&OLES* MM,2.604975,,GCARSOA1 MM,0.980979181,,,,,,,,,
